Nombre;Altura;Edad (2018);Valor de mercado;Partidos jugados;Goles;Asistencias;Amarillas;Rojas;Nacionalidad;Club ;Posición
Kylian Mbappé;1,78;19;120,000,000;44;21;15;3;0;Francia;PSG;Delantero
Aziz Behich;1,7;27;1,000,000;30;1;2;3;0;Australia;Bursaspor;Lateral
Tom Rogic;1,88;25;3,000,000;32;7;6;4;0;Australia;Celtic;Mediocentro ofensivo
Raphaël Varane;1,91;25;60,000,000;36;2;1;5;0;Francia;Real Madrid;Defensa
Antoine Griezmann;1,76;27;100,000,000;49;29;13;5;0;Francia;Atlético Madrid;Delantero
Robbie Kruse;1,79;29;1,500,000;28;4;5;3;0;Australia;VfL Bochum;Extremo
Hugo Lloris;1,88;31;25,000,000;44;0;0;2;0;Francia;Tottenham;Portero
Paul Pogba;1,91;25;90,000,000;37;6;10;6;0;Francia;Manchester United;Mediocentro
Mile Jedinak;1,89;33;2,000,000;30;5;2;6;0;Australia;Aston Villa;Mediocentro defensivo
Samuel Umtiti;1,82;24;40,000,000;35;1;0;4;0;Francia;FC Barcelona;Defensa
N’Golo Kanté;1,68;27;60,000,000;36;1;3;3;0;Francia;Chelsea;Mediocentro defensivo
Mathew Ryan;1,84;26;6,000,000;38;0;0;2;0;Australia;Brighton;Portero
Mathew Leckie;1,81;27;3,000,000;32;7;6;4;0;Australia;Hertha Berlín;Extremo
Lucas Hernández;1,83;22;25,000,000;36;1;2;5;0;Francia;Atlético Madrid;Defensa
Josh Risdon;1,78;25;1,000,000;28;0;2;3;0;Australia;Western Sydney;Lateral
Ousmane Dembélé;1,78;21;80,000,000;23;4;7;2;0;Francia;FC Barcelona;Extremo
Mark Milligan;1,8;32;1,000,000;30;2;2;4;0;Australia;Melbourne Victory;Mediocentro
Tomi Juric;1,89;26;1,500,000;28;8;3;3;0;Australia;Luzern;Delantero
Nabil Fekir;1,73;24;25,000,000;36;23;8;4;0;Francia;Lyon;Mediocentro ofensivo
Olivier Giroud;1,92;31;20,000,000;36;13;6;3;0;Francia;Chelsea;Delantero
Jackson Irvine;1,89;25;2,000,000;34;10;5;4;0;Australia;Hull City;Mediocentro
Blaise Matuidi;1,8;31;25,000,000;40;5;6;5;0;Francia;Juventus;Mediocentro
Daniel Arzani;1,71;19;800;20;5;3;2;0;Australia;Melbourne City;Extremo
Johann Berg Gudmundsson;1,79;27;6,000,000;36;9;8;4;0;Islandia;Burnley;Extremo
Sergio Agüero;1,73;30;70,000,000;39;30;7;3;0;Argentina;Manchester City;Delantero
Birkir Bjarnason;1,82;30;3,000,000;32;5;4;3;0;Islandia;Aston Villa;Mediocentro
Kári Árnason;1,9;35;500;28;2;1;4;0;Islandia;Aberdeen;Defensa
Marcos Rojo;1,89;28;15,000,000;25;1;1;5;0;Argentina;Manchester United;Defensa
Ángel Di María;1,8;30;40,000,000;41;12;17;4;0;Argentina;PSG;Extremo
Gylfi Sigurdsson;1,86;28;35,000,000;38;9;6;5;0;Islandia;Everton;Mediocentro ofensivo
Alfred Finnbogason;1,84;29;6,000,000;30;12;4;3;0;Islandia;Augsburg;Delantero
Willy Caballero;1,86;36;1,000,000;15;0;0;1;0;Argentina;Chelsea;Portero
Nicolás Tagliafico;1,72;25;8,000,000;30;2;3;5;0;Argentina;Ajax;Lateral
Nicolás Otamendi;1,83;30;30,000,000;45;3;2;7;0;Argentina;Manchester City;Defensa
Eduardo Salvio;1,78;28;20,000,000;35;10;8;4;0;Argentina;Benfica;Extremo
Javier Mascherano;1,74;34;5,000,000;28;0;1;4;0;Argentina;Hebei Fortune;Mediocentro defensivo
Lucas Biglia;1,78;32;10,000,000;30;2;3;5;0;Argentina;AC Milan;Mediocentro
Maximiliano Meza;1,8;26;6,000,000;32;7;6;3;0;Argentina;Independiente;Mediocentro ofensivo
Hordur Magnusson;1,85;25;2,000,000;28;2;1;4;0;Islandia;Bristol City;Defensa
Lionel Messi;1,7;30;180,000,000;54;45;18;3;0;Argentina;FC Barcelona;Delantero
Hannes Halldorsson;1,94;34;500;30;0;0;1;0;Islandia;Randers FC;Portero
Ragnar Sigurdsson;1,87;32;1,000,000;25;1;0;3;0;Islandia;Rubin Kazan;Defensa
Emil Hallfredsson;1,86;34;1,500,000;28;2;2;3;0;Islandia;Udinese;Mediocentro
Aron Gunnarsson;1,88;29;2,500,000;30;3;3;4;0;Islandia;Cardiff City;Mediocentro
Birkir Saevarsson;1,85;33;500;28;1;1;3;0;Islandia;Valur;Defensa
Ever Banega;1,75;29;25,000,000;40;5;8;6;0;Argentina;Sevilla;Mediocentro
Rurik Gislason;1,84;30;1,000,000;25;3;2;2;0;Islandia;Sandhausen;Extremo
Cristian Pavón;1,67;22;15,000,000;36;7;11;4;0;Argentina;Boca Juniors;Extremo
Ari Skulason;1,78;31;1,000,000;28;1;2;3;0;Islandia;Lokeren;Lateral
Gonzalo Higuaín;1,86;30;60,000,000;50;23;7;5;0;Argentina;Juventus;Delantero
Björn Sigurdarson;1,87;27;2,000,000;30;10;4;3;0;Islandia;Rostov;Delantero
Christian Eriksen;1,82;26;80,000,000;48;14;12;4;0;Dinamarca;Tottenham;Mediocentro ofensivo
Andreas Christensen;1,87;22;25,000,000;40;1;1;4;0;Dinamarca;Chelsea;Defensa
Christian Cueva;1,69;26;6,000,000;32;8;6;3;0;Perú;São Paulo;Mediocentro ofensivo
Yussuf Poulsen;1,93;24;12,000,000;36;9;5;4;0;Dinamarca;RB Leipzig;Delantero
Miguel Trauco;1,75;25;2,000,000;28;1;3;3;0;Perú;Flamengo;Lateral
Yoshimar Yotún;1,74;28;2,500,000;30;2;4;4;0;Perú;Orlando City;Mediocentro
Henrik Dalsgaard;1,92;29;2,000,000;32;2;2;4;0;Dinamarca;Brentford;Defensa
Edison Flores;1,7;24;2,500,000;28;5;4;3;0;Perú;Aalborg BK;Extremo
Jefferson Farfán;1,78;33;3,000,000;30;10;6;4;0;Perú;Lokomotiv Moscú;Delantero
Simon Kjær;1,89;29;12,000,000;35;2;1;5;0;Dinamarca;Sevilla;Defensa
William Kvist;1,85;33;1,000,000;28;1;2;3;0;Dinamarca;Copenhague;Mediocentro
Nicolai Jørgensen;1,91;27;12,000,000;32;15;6;4;0;Dinamarca;Feyenoord;Delantero
Renato Tapia;1,85;22;2,500,000;28;2;3;4;0;Perú;Feyenoord;Mediocentro
Thomas Delaney;1,82;26;15,000,000;34;6;5;5;0;Dinamarca;Werder Bremen;Mediocentro
André Carrillo;1,82;27;6,000,000;30;5;6;3;0;Perú;Watford;Extremo
Luis Advíncula;1,8;28;2,500,000;30;2;3;4;0;Perú;Lobos BUAP;Lateral
Pione Sisto;1,7;23;8,000,000;34;7;7;3;0;Dinamarca;Celta de Vigo;Extremo
Christian Ramos;1,85;29;1,500,000;28;1;0;3;0;Perú;Veracruz;Defensa
Alberto Rodríguez;1,82;34;800;25;0;0;2;0;Perú;Universitario;Defensa
Jens Stryger Larsen;1,85;27;3,000,000;32;2;3;4;0;Dinamarca;Udinese;Lateral
Pedro Gallese;1,85;28;1,500,000;28;0;0;2;0;Perú;Veracruz;Portero
Kasper Schmeichel;1,89;31;12,000,000;38;0;0;2;0;Dinamarca;Leicester City;Portero
Lasse Schöne;1,77;31;4,000,000;34;6;7;3;0;Dinamarca;Ajax;Mediocentro
Paolo Guerrero;1,85;34;3,000,000;25;9;3;4;0;Perú;Flamengo;Delantero
Martin Braithwaite;1,77;27;6,000,000;32;9;4;3;0;Dinamarca;Bordeaux;Delantero
Pedro Aquino;1,75;23;2,000,000;28;3;3;3;0;Perú;León;Mediocentro
Mathias Jørgensen;1,91;28;5,000,000;32;2;1;4;0;Dinamarca;Huddersfield;Defensa
Raúl Ruidíaz;1,69;27;3,000,000;32;20;4;3;0;Perú;Monarcas Morelia;Delantero
Gabriel Jesus;1,75;21;80,000,000;42;17;7;4;0;Brasil;Manchester City;Delantero
Casemiro;1,85;26;60,000,000;40;7;3;6;0;Brasil;Real Madrid;Mediocentro defensivo
Philippe Coutinho;1,72;25;120,000,000;43;20;13;5;0;Brasil;FC Barcelona;Mediocentro ofensivo
Haris Seferovic;1,85;26;8,000,000;34;10;5;4;0;Suiza;Benfica;Delantero
Marcelo Vieira;1,74;30;50,000,000;40;5;8;6;0;Brasil;Real Madrid;Lateral
Valon Behrami;1,84;33;2,000,000;30;2;2;5;0;Suiza;Udinese;Mediocentro
Stephan Lichtsteiner;1,82;34;1,500,000;32;1;3;5;0;Suiza;Juventus;Lateral
Xherdan Shaqiri;1,69;26;20,000,000;35;8;7;3;0;Suiza;Stoke City;Extremo
Fabian Schär;1,86;26;6,000,000;32;3;2;4;0;Suiza;Deportivo La Coruña;Defensa
Manuel Akanji;1,87;22;15,000,000;30;2;1;3;0;Suiza;Basilea/Dortmund;Defensa
Miranda;1,86;33;10,000,000;35;2;1;4;0;Brasil;Inter de Milán;Defensa
Steven Zuber;1,82;26;6,000,000;30;6;5;3;0;Suiza;Hoffenheim;Extremo
Paulinho;1,8;29;40,000,000;45;9;7;4;0;Brasil;FC Barcelona;Mediocentro
Ricardo Rodríguez;1,8;25;20,000,000;36;3;4;5;0;Suiza;AC Milan;Lateral
Willian;1,75;29;40,000,000;45;12;10;4;0;Brasil;Chelsea;Extremo
Granit Xhaka;1,86;25;35,000,000;38;4;6;7;0;Suiza;Arsenal;Mediocentro
Danilo;1,84;26;25,000,000;32;2;3;4;0;Brasil;Manchester City;Lateral
Blerim Dzemaili;1,79;32;2,000,000;30;5;4;4;0;Suiza;Bologna;Mediocentro
Alisson Becker;1,91;25;40,000,000;49;0;0;2;0;Brasil;AS Roma;Portero
Thiago Silva;1,83;33;15,000,000;35;2;1;5;0;Brasil;PSG;Defensa
Neymar;1,75;26;180,000,000;30;28;16;4;0;Brasil;PSG;Delantero
Yann Sommer;1,83;29;12,000,000;38;0;0;2;0;Suiza;Borussia Mönchengladbach;Portero
Fernandinho;1,79;32;20,000,000;40;5;4;6;0;Brasil;Manchester City;Mediocentro
Renato Augusto;1,86;30;8,000,000;28;6;5;3;0;Brasil;Beijing Guoan;Mediocentro
Denis Zakaria;1,91;21;12,000,000;32;3;3;4;0;Suiza;Borussia Mönchengladbach;Mediocentro
Roberto Firmino;1,81;26;60,000,000;45;15;9;5;0;Brasil;Liverpool;Delantero
Breel Embolo;1,87;21;10,000,000;28;8;6;3;0;Suiza;Schalke 04;Delantero
Michael Lang;1,85;27;5,000,000;32;4;5;4;0;Suiza;Basilea;Lateral
Carlos Vela;1,77;29;10,000,000;35;13;8;3;0;México;Real Sociedad;Extremo
Héctor Herrera;1,83;28;15,000,000;40;6;7;5;0;México;Porto;Mediocentro
Mesut Özil;1,8;29;50,000,000;35;5;12;3;0;Alemania;Arsenal;Mediocentro ofensivo
Thomas Müller;1,85;28;70,000,000;44;15;12;4;0;Alemania;Bayern Múnich;Delantero
Daniel Gallardo Vasconcelos;1,8;28;0;0;0;0;0;0;México;—;—
Héctor Moreno;1,82;30;6,000,000;32;2;1;4;0;México;Real Sociedad;Defensa
Hugo Ayala;1,82;31;2,000,000;28;1;0;3;0;México;Tigres UANL;Defensa
Timo Werner;1,8;22;60,000,000;40;21;7;3;0;Alemania;RB Leipzig;Delantero
Guillermo Ochoa;1,85;32;3,000,000;38;0;0;2;0;México;Standard Lieja;Portero
Andrés Guardado;1,69;31;4,000,000;34;3;6;4;0;México;Real Betis;Mediocentro
Sami Khedira;1,89;31;20,000,000;35;6;5;5;0;Alemania;Juventus;Mediocentro
Hirving Lozano;1,75;22;25,000,000;34;17;8;4;0;México;PSV Eindhoven;Extremo
Joshua Kimmich;1,76;23;45,000,000;47;6;14;5;0;Alemania;Bayern Múnich;Lateral/Mediocentro
Toni Kroos;1,83;28;80,000,000;42;5;10;4;0;Alemania;Real Madrid;Mediocentro
Mats Hummels;1,91;29;50,000,000;40;3;2;6;0;Alemania;Bayern Múnich;Defensa
Javier Hernández;1,75;30;15,000,000;32;8;3;2;0;México;West Ham United;Delantero
Carlos Salcedo;1,85;24;6,000,000;30;2;1;5;0;México;Eintracht Frankfurt;Defensa
Jérôme Boateng;1,92;29;40,000,000;36;2;2;6;0;Alemania;Bayern Múnich;Defensa
Manuel Neuer;1,93;32;45,000,000;26;0;0;1;0;Alemania;Bayern Múnich;Portero
Miguel Layún;1,79;29;5,000,000;34;3;5;4;0;México;Sevilla;Lateral
Marvin Plattenhardt;1,81;26;12,000,000;30;2;4;3;0;Alemania;Hertha Berlín;Lateral
Julian Draxler;1,85;24;40,000,000;40;7;9;4;0;Alemania;PSG;Extremo
Edson Álvarez;1,87;20;2,500,000;28;2;2;4;0;México;América;Defensa
Marco Reus;1,8;29;50,000,000;30;14;8;3;0;Alemania;Borussia Dortmund;Extremo
Raúl Jiménez;1,87;27;10,000,000;30;8;4;3;0;México;Benfica;Delantero
Rafael Márquez;1,82;39;500;20;1;1;3;0;México;Atlas;Defensa
Mario Gómez;1,89;32;8,000,000;32;16;3;4;0;Alemania;Stuttgart;Delantero
Julian Brandt;1,83;22;25,000,000;34;9;7;3;0;Alemania;Bayer Leverkusen;Extremo
Aleksandar Mitrovi?;1,89;23;12,000,000;34;12;3;5;0;Serbia;Fulham;Delantero
Nikola Milenkovi?;1,95;20;5,000,000;28;2;1;4;0;Serbia;Fiorentina;Defensa
Sergej Milinkovi?-Savi?;1,91;23;55,000,000;36;12;9;5;0;Serbia;Lazio;Mediocentro
Adem Ljaji?;1,82;26;12,000,000;34;10;7;4;0;Serbia;Torino;Mediocentro ofensivo
Celso Borges;1,87;30;2,000,000;32;6;4;4;0;Costa Rica;Deportivo La Coruña;Mediocentro
Aleksandar Kolarov;1,87;32;8,000,000;36;5;6;6;0;Serbia;AS Roma;Lateral
Nemanja Mati?;1,94;29;40,000,000;42;3;5;6;0;Serbia;Manchester United;Mediocentro defensivo
Bryan Ruiz;1,88;32;2,500,000;30;8;6;3;0;Costa Rica;Sporting CP;Extremo
Marcos Ureña;1,79;28;1,500,000;28;7;3;2;0;Costa Rica;Los Angeles FC;Delantero
Branislav Ivanovi?;1,85;34;5,000,000;32;2;2;5;0;Serbia;Zenit;Defensa
Johnny Acosta;1,77;34;500;28;1;0;3;0;Costa Rica;Rionegro Águilas;Defensa
Keylor Navas;1,85;31;12,000,000;42;0;0;2;0;Costa Rica;Real Madrid;Portero
David Guzmán;1,78;28;1,000,000;28;2;2;3;0;Costa Rica;Portland Timbers;Mediocentro
Dušan Tadi?;1,81;29;15,000,000;38;7;9;4;0;Serbia;Southampton;Extremo
Johan Venegas;1,79;29;1,000,000;26;5;3;3;0;Costa Rica;Saprissa;Delantero
Francisco Calvo;1,8;25;1,500,000;28;2;1;4;0;Costa Rica;Minnesota United;Defensa
Óscar Duarte;1,85;29;2,000,000;28;1;0;3;0;Costa Rica;Espanyol;Defensa
Giancarlo González;1,87;30;2,000,000;28;1;0;4;0;Costa Rica;Bolonia;Defensa
Vladimir Stojkovi?;1,95;34;1,000,000;30;0;0;2;0;Serbia;Partizan;Portero
Cristian Gamboa;1,75;28;1,000,000;26;1;2;3;0;Costa Rica;Celtic;Lateral
Duško Toši?;1,84;33;2,500,000;30;2;1;4;0;Serbia;Besiktas JK;Defensa
Luka Milivojevi?;1,86;27;10,000,000;36;7;4;6;0;Serbia;Crystal Palace;Mediocentro
Christian Bolaños;1,75;34;800;25;4;5;2;0;Costa Rica;Saprissa;Extremo
Joel Campbell;1,78;25;3,000,000;28;5;4;3;0;Costa Rica;Betis;Extremo
Filip Kosti?;1,84;25;12,000,000;34;7;9;4;0;Serbia;Hamburgo;Extremo
Daniel Colindres;1,78;32;800;26;6;5;2;0;Costa Rica;Saprissa;Extremo
Antonio Rukavina;1,77;34;1,000,000;28;1;2;3;0;Serbia;Villarreal;Lateral
Aleksandar Prijovi?;1,91;28;5,000,000;30;19;4;3;0;Serbia;PAOK;Delantero
Armando Cooper;1,77;30;1,000,000;26;2;3;3;0;Panamá;Toronto FC;Mediocentro
Fidel Escobar;1,83;23;800;25;1;0;3;0;Panamá;New York Red Bulls;Defensa
Blas Pérez;1,85;37;500;20;6;2;2;0;Panamá;Municipal;Delantero
Yoel Bárcenas;1,79;24;1,000,000;26;4;3;3;0;Panamá;Cafetaleros;Extremo
Thibaut Courtois;1,99;26;60,000,000;46;0;0;2;0;Bélgica;Chelsea;Portero
Yannick Carrasco;1,8;24;30,000,000;35;10;8;4;0;Bélgica;Atlético Madrid;Extremo
Jan Vertonghen;1,89;31;25,000,000;42;3;2;5;0;Bélgica;Tottenham;Defensa
Dedryck Boyata;1,88;27;4,000,000;28;2;1;4;0;Bélgica;Celtic;Defensa
Kevin De Bruyne;1,81;26;150,000,000;52;12;20;5;0;Bélgica;Manchester City;Mediocentro ofensivo
Thomas Meunier;1,9;26;20,000,000;36;5;6;4;0;Bélgica;PSG;Lateral
José Luis Rodríguez;1,8;19;500;20;2;2;2;0;Panamá;Gent;Extremo
Romelu Lukaku;1,91;25;90,000,000;48;27;9;5;0;Bélgica;Manchester United;Delantero
Aníbal Godoy;1,83;28;1,000,000;28;2;3;3;0;Panamá;San Jose Earthquakes;Mediocentro
Axel Witsel;1,86;29;25,000,000;40;6;7;4;0;Bélgica;Tianjin Quanjian;Mediocentro
Dries Mertens;1,69;31;35,000,000;46;22;12;3;0;Bélgica;Napoli;Delantero
Román Torres;1,87;32;800;26;2;1;4;0;Panamá;Seattle Sounders;Defensa
Gabriel Gómez;1,85;34;500;25;2;2;3;0;Panamá;Bucaramanga;Mediocentro
Jaime Penedo;1,84;36;300;24;0;0;1;0;Panamá;Dinamo Bucarest;Portero
Eden Hazard;1,73;27;150,000,000;52;17;13;4;0;Bélgica;Chelsea;Extremo
Michael Murillo;1,83;22;1,000,000;26;2;3;3;0;Panamá;New York Red Bulls;Defensa
Toby Alderweireld;1,87;29;40,000,000;42;3;2;5;0;Bélgica;Tottenham;Defensa
Erick Davis;1,76;27;700;24;1;2;3;0;Panamá;DAC Dunajská Streda;Lateral
Ismael Díaz;1,78;21;1,500,000;22;6;3;2;0;Panamá;Deportivo La Coruña;Extremo
Gabriel Torres;1,8;29;1,000,000;26;8;4;3;0;Panamá;Huachipato;Delantero
Luis Tejada;1,85;36;400;20;5;2;2;0;Panamá;Sport Boys;Delantero
Mousa Dembélé;1,85;30;20,000,000;35;3;4;5;0;Bélgica;Tottenham;Mediocentro
Thorgan Hazard;1,75;25;25,000,000;40;10;8;4;0;Bélgica;Borussia Mönchengladbach;Extremo
Nacer Chadli;1,85;28;15,000,000;32;6;5;3;0;Bélgica;West Bromwich;Extremo
Dele Alli;1,88;22;80,000,000;46;14;11;5;0;Inglaterra;Tottenham;Mediocentro ofensivo
John Stones;1,88;24;40,000,000;38;2;1;5;0;Inglaterra;Manchester City;Defensa
Wahbi Khazri;1,82;27;8,000,000;34;11;7;4;0;Túnez;Rennes;Extremo
Kyle Walker;1,83;28;45,000,000;42;2;5;4;0;Inglaterra;Manchester City;Lateral
Jordan Henderson;1,82;28;35,000,000;40;2;6;5;0;Inglaterra;Liverpool;Mediocentro
Anice Badri;1,78;27;2,000,000;28;9;5;3;0;Túnez;Espérance Tunis;Extremo
Harry Maguire;1,94;25;25,000,000;38;3;2;6;0;Inglaterra;Leicester City;Defensa
Ashley Young;1,75;32;5,000,000;34;3;6;4;0;Inglaterra;Manchester United;Extremo/Lateral
Fakhreddine Ben Youssef;1,85;26;1,500,000;28;7;4;3;0;Túnez;Al-Ettifaq;Delantero
Naim Sliti;1,75;25;2,000,000;30;6;5;3;0;Túnez;Dijon;Extremo
Kieran Trippier;1,78;27;15,000,000;36;1;7;4;0;Inglaterra;Tottenham;Lateral
Jesse Lingard;1,75;25;25,000,000;36;13;6;3;0;Inglaterra;Manchester United;Extremo
Mouez Hassen;1,85;23;1,000,000;20;0;0;1;0;Túnez;Châteauroux;Portero
Yassine Meriah;1,86;24;2,000,000;28;2;1;4;0;Túnez;Sfaxien;Defensa
Ali Maâloul;1,75;28;1,500,000;28;3;4;3;0;Túnez;Al Ahly;Lateral
Syam Ben Youssef;1,88;29;1,500,000;28;2;1;4;0;Túnez;Kasimpasa;Defensa
Dylan Bronn;1,85;22;2,000,000;28;2;2;3;0;Túnez;Gent;Defensa
Ellyes Skhiri;1,85;23;3,000,000;32;4;5;4;0;Túnez;Montpellier;Mediocentro
Harry Kane;1,88;24;150,000,000;48;41;7;5;0;Inglaterra;Tottenham;Delantero
Ferjani Sassi;1,86;26;2,000,000;28;3;4;3;0;Túnez;Al-Nassr;Mediocentro
Raheem Sterling;1,7;23;90,000,000;46;23;17;4;0;Inglaterra;Manchester City;Extremo
Jordan Pickford;1,85;24;25,000,000;38;0;0;2;0;Inglaterra;Everton;Portero
Farouk Ben Mustapha;1,9;28;1,000,000;25;0;0;1;0;Túnez;Al Shabab;Portero
Marcus Rashford;1,8;20;65,000,000;45;13;9;3;0;Inglaterra;Manchester United;Delantero
Mohamed Amine Ben Amor;1,8;26;1,500,000;28;2;3;3;0;Túnez;Étoile du Sahel;Mediocentro
Ruben Loftus-Cheek;1,91;22;20,000,000;32;5;6;3;0;Inglaterra;Chelsea;Mediocentro
Saber Khalifa;1,85;31;1,000,000;25;6;3;3;0;Túnez;Club Africain;Delantero
